TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
12,8DP ESPORTS,1,511014603,8DPALE,83,3,709,187,3,4,1,244,217,30m 12s,0m 0s,0,0,0,8244,2150,2,5,3,0,0,0,2318,8,16,2,0,3,"101004,104004,101003,102004","M416,DBS,SCAR-L,Thompson SMG",M416:762.0 / DBS:0.0 / SCAR-L:0.0 / Thompson SMG:0.0,M416:2 / DBS:0 / SCAR-L:0 / Thompson SMG:0,M416:549 / DBS:0 / SCAR-L:0 / Thompson SMG:0,M416:29 / DBS:0 / SCAR-L:0 / Thompson SMG:0,549,29,5.28
12,8DP ESPORTS,1,5187129313,8DPLUFFY,43,5,1091,144,5,4,1,244,195,30m 12s,0m 0s,18,0,3,10210,2822,0,1,5,0,0,0,2318,6,12,4,3,5,"101004,104003,101001","M416,S12K,AKM",M416:774.2 / S12K:0.0 / AKM:0.0,M416:2 / S12K:0 / AKM:0,M416:491 / S12K:0 / AKM:0,M416:30 / S12K:0 / AKM:0,491,30,6.11
12,8DP ESPORTS,1,559379187,8DPRETURN,75,3,236,158,0,3,1,137,102,30m 12s,0m 0s,0,0,1,10108,2530,1,2,2,1,0,0,2318,1,2,0,0,2,"101004,105002,104003","M416,DP-28,S12K",M416:126.6 / DP-28:0.0 / S12K:0.0,M416:2 / DP-28:0 / S12K:0,M416:214 / DP-28:40 / S12K:0,M416:5 / DP-28:0 / S12K:0,254,5,1.97
12,8DP ESPORTS,1,521933446,8DPMYSTIC,100,0,282,0,2,1,0,145,101,28m 54s,0m 5s,152,0,0,8325,2436,0,1,0,0,0,0,2318,1,8,0,0,1,"101004,102002,104004,101003","M416,UMP45,DBS,SCAR-L",M416:293.3 / UMP45:0.0 / DBS:0.0 / SCAR-L:0.0,M416:0 / UMP45:0 / DBS:0 / SCAR-L:0,M416:439 / UMP45:17 / DBS:0 / SCAR-L:0,M416:10 / UMP45:0 / DBS:0 / SCAR-L:0,456,10,2.19
7,MAFK ESPORTS,2,537616745,MFKYutagodd,0,3,975,73,1,4,1,311,248,30m 12s,0m 2s,54,0,0,7172,2581,2,3,4,2,0,0,2570,5,24,2,1,11,"101004,101001,101003","M416,AKM,SCAR-L",M416:659.0 / AKM:335.7 / SCAR-L:26.2,M416:1 / AKM:2 / SCAR-L:0,M416:380 / AKM:90 / SCAR-L:70,M416:31 / AKM:11 / SCAR-L:1,540,43,7.96
7,MAFK ESPORTS,2,585002568,Sxp12K,0,4,854,229,3,5,1,428,230,30m 11s,0m 0s,0,0,0,6284,3651,1,7,5,1,0,1,2570,6,26,2,0,13,"101004,104004,101001,107010","M416,DBS,AKM,Arma 107010",M416:763.0 / DBS:183.5 / AKM:0.0 / Arma 107010:0.0,M416:2 / DBS:2 / AKM:0 / Arma 107010:0,M416:276 / DBS:22 / AKM:0 / Arma 107010:0,M416:31 / DBS:16 / AKM:0 / Arma 107010:0,298,47,15.77
7,MAFK ESPORTS,2,5294974509,MFKBolillo,0,4,572,129,0,2,0,384,190,26m 6s,0m 0s,0,0,2,6472,2462,1,2,2,0,0,0,2570,3,12,1,0,4,"101003,101004,102002,104003","SCAR-L,M416,UMP45,S12K",SCAR-L:426.1 / M416:92.4 / UMP45:0.0 / S12K:0.0,SCAR-L:2 / M416:0 / UMP45:0 / S12K:0,SCAR-L:238 / M416:82 / UMP45:0 / S12K:0,SCAR-L:15 / M416:5 / UMP45:0 / S12K:0,320,20,6.25
7,MAFK ESPORTS,2,5336448741,XRToppo11,0,0,169,0,2,0,0,269,65,11m 55s,0m 0s,0,0,0,5403,1176,0,0,1,0,0,0,2570,0,5,0,0,0,"101006,101003,101004,104002","AUG A3,SCAR-L,M416,S1897",AUG A3:22.9 / SCAR-L:100.7 / M416:0.0 / S1897:0.0,AUG A3:0 / SCAR-L:0 / M416:0 / S1897:0,AUG A3:42 / SCAR-L:36 / M416:21 / S1897:3,AUG A3:1 / SCAR-L:4 / M416:0 / S1897:0,102,5,4.90
18,RIDERS DIAMOND,3,5173652492,rmxMacaquinho,0,1,379,75,0,2,0,247,125,29m 11s,0m 0s,0,0,0,5192,2177,0,5,1,0,0,0,657,1,14,0,2,3,"101004,101003,104003","M416,SCAR-L,S12K",M416:403.0 / SCAR-L:0.0 / S12K:0.0,M416:1 / SCAR-L:0 / S12K:0,M416:189 / SCAR-L:0 / S12K:0,M416:20 / SCAR-L:0 / S12K:0,189,20,10.58
18,RIDERS DIAMOND,3,5952649751,rmxMIKE,0,0,0,0,0,0,0,350,230,29m 11s,0m 0s,0,0,0,3069,2269,0,6,2,1,0,0,657,0,0,0,0,0,"101004,102002","M416,UMP45",M416:0.0 / UMP45:0.0,M416:0 / UMP45:0,M416:101 / UMP45:0,M416:0 / UMP45:0,101,0,0.00
18,RIDERS DIAMOND,3,572367334,rmxCashh,0,0,133,0,0,1,0,254,122,29m 11s,0m 0s,0,0,0,5063,2702,2,4,2,0,0,0,657,0,5,1,1,0,"101004,102005,102002","M416,PP19,UMP45",M416:141.4 / PP19:0.0 / UMP45:0.0,M416:0 / PP19:0 / UMP45:0,M416:158 / PP19:0 / UMP45:0,M416:7 / PP19:0 / UMP45:0,158,7,4.43
18,RIDERS DIAMOND,3,523673894,rmxFeiis,0,1,145,153,0,1,0,114,66,28m 45s,0m 9s,126,0,0,6277,2174,0,3,0,0,0,0,657,2,4,0,0,0,"101003,101006,104003","SCAR-L,AUG A3,S12K",SCAR-L:213.9 / AUG A3:0.0 / S12K:0.0,SCAR-L:1 / AUG A3:0 / S12K:0,SCAR-L:227 / AUG A3:0 / S12K:0,SCAR-L:6 / AUG A3:0 / S12K:0,227,6,2.64
8,INCOGNIT EVOLUTION,4,5582662785,invgSAD09,0,0,24,0,0,0,0,253,151,25m 56s,0m 0s,8,0,0,3488,2702,3,6,1,0,0,0,1636,0,1,0,0,0,"104004,101004,101001,101006","DBS,M416,AKM,AUG A3",DBS:0.0 / M416:23.1 / AKM:0.0 / AUG A3:0.0,DBS:0 / M416:0 / AKM:0 / AUG A3:0,DBS:0 / M416:271 / AKM:80 / AUG A3:0,DBS:0 / M416:1 / AKM:0 / AUG A3:0,351,1,0.28
8,INCOGNIT EVOLUTION,4,591076293,invgKennyDanL,0,2,607,128,2,2,0,491,361,25m 56s,0m 0s,0,0,0,4644,2212,0,12,2,0,0,0,1636,4,13,2,1,7,"101004,104003,101101,107010","M416,S12K,ASM Abakan,Arma 107010",M416:705.0 / S12K:0.0 / ASM Abakan:0.0 / Arma 107010:0.0,M416:2 / S12K:0 / ASM Abakan:0 / Arma 107010:0,M416:469 / S12K:0 / ASM Abakan:0 / Arma 107010:1,M416:27 / S12K:0 / ASM Abakan:0 / Arma 107010:0,470,27,5.74
8,INCOGNIT EVOLUTION,4,5325340274,invgKilla04,0,3,515,147,0,2,1,274,139,25m 56s,0m 0s,0,1,0,3737,2437,1,3,2,1,0,0,1636,4,9,1,1,4,"101004,104003,102002","M416,S12K,UMP45",M416:483.7 / S12K:0.0 / UMP45:0.0,M416:2 / S12K:0 / UMP45:0,M416:465 / S12K:1 / UMP45:52,M416:19 / S12K:0 / UMP45:0,518,19,3.67
8,INCOGNIT EVOLUTION,4,5200453950,invgRR,0,2,490,70,2,4,1,344,146,25m 40s,0m 0s,0,0,1,4405,2201,0,5,3,0,0,0,1636,5,8,0,0,5,"101006,101004,104003","AUG A3,M416,S12K",AUG A3:415.9 / M416:93.8 / S12K:0.0,AUG A3:1 / M416:0 / S12K:0,AUG A3:471 / M416:20 / S12K:0,AUG A3:14 / M416:4 / S12K:0,491,18,3.67
9,SOLDIERS FROM HELL,5,5859366447,sfhLeppard,0,3,320,84,2,1,1,474,420,23m 33s,2m 12s,89,0,0,9538,1880,0,3,4,0,0,0,840,4,8,0,0,0,"101004,102002,101003","M416,UMP45,SCAR-L",M416:194.9 / UMP45:165.2 / SCAR-L:25.0,M416:1 / UMP45:1 / SCAR-L:1,M416:75 / UMP45:56 / SCAR-L:5,M416:6 / UMP45:5 / SCAR-L:1,136,12,8.82
