TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
10,SAILING ESPORTS,1,576864809,TUKIū,52,4,576,54,1,2,0,192,340,30m 30s,4m 41s,200,0,1,12452,2122,0,3,2,1,0,0,1223,0,0,0,0,0,"101006,104003","AUG A3,S12K",AUG A3:0.0 / S12K:0.0,AUG A3:0 / S12K:0,AUG A3:83 / S12K:0,AUG A3:0 / S12K:0,83,0,0.00
10,SAILING ESPORTS,1,5256481428,slpRetired,10,1,212,23,1,1,0,139,216,30m 30s,4m 33s,176,0,0,12106,2528,0,4,2,0,0,0,1223,0,1,0,0,0,"101006,101001","AUG A3,AKM",AUG A3:25.7 / AKM:0.0,AUG A3:1 / AKM:0,AUG A3:52 / AKM:0,AUG A3:1 / AKM:0,52,1,1.92
10,SAILING ESPORTS,1,589683796,INzViglez,9,3,214,66,2,2,1,155,274,30m 30s,4m 52s,208,0,0,12653,2038,1,2,1,0,0,0,1223,0,1,0,1,0,"101004,102002","M416,UMP45",M416:32.3 / UMP45:0.0,M416:0 / UMP45:0,M416:33 / UMP45:0,M416:2 / UMP45:0,33,2,6.06
10,SAILING ESPORTS,1,515409759,slpLucio,75,0,221,0,3,1,0,153,320,30m 30s,4m 42s,192,0,0,11853,1212,0,3,1,0,0,0,1223,1,5,0,0,1,"101004,104003","M416,S12K",M416:192.7 / S12K:0.0,M416:0 / S12K:0,M416:71 / S12K:0,M416:7 / S12K:0,71,7,9.86
3,ALL STAR ESPORTS,2,5114407339,ASELEY,0,1,246,58,0,0,0,175,75,30m 30s,0m 0s,0,0,0,4866,3260,1,3,3,0,0,0,1889,0,0,0,0,0,"101004,104004,104003","M416,DBS,S12K",M416:0.0 / DBS:0.0 / S12K:0.0,M416:0 / DBS:0 / S12K:0,M416:23 / DBS:0 / S12K:0,M416:0 / DBS:0 / S12K:0,23,0,0.00
3,ALL STAR ESPORTS,2,5132929308,ASEGELOOOXX,0,2,333,7,0,3,0,339,162,30m 16s,0m 0s,0,0,1,4909,3132,0,1,2,0,0,1,1889,0,0,0,0,0,"101006,104003,104002","AUG A3,S12K,S1897",AUG A3:0.0 / S12K:0.0 / S1897:0.0,AUG A3:0 / S12K:0 / S1897:0,AUG A3:19 / S12K:0 / S1897:0,AUG A3:0 / S12K:0 / S1897:0,19,0,0.00
3,ALL STAR ESPORTS,2,5772658003,ASELOURYYYjpg,0,1,555,42,1,0,0,250,57,30m 14s,0m 0s,0,0,0,5521,2560,0,6,0,1,0,0,1889,0,1,0,0,0,"101004,104003,101006","M416,S12K,AUG A3",M416:21.8 / S12K:0.0 / AUG A3:0.0,M416:0 / S12K:0 / AUG A3:0,M416:97 / S12K:0 / AUG A3:0,M416:1 / S12K:0 / AUG A3:0,97,1,1.03
3,ALL STAR ESPORTS,2,51301453461,ASEORNNYYYYYY,0,2,755,47,1,2,1,180,0,30m 12s,0m 0s,18,0,0,5215,2651,0,0,2,1,0,0,1889,0,0,0,0,0,"104003,101007,101006","S12K,QBZ,AUG A3",S12K:0.0 / QBZ:0.0 / AUG A3:0.0,S12K:0 / QBZ:0 / AUG A3:0,S12K:0 / QBZ:0 / AUG A3:0,S12K:0 / QBZ:0 / AUG A3:0,0,0,0.00
9,FOX POWER,3,574748484,FXPCHOCO,0,3,409,131,0,3,0,250,203,30m 26s,1m 7s,42,0,1,9867,2157,0,6,4,0,0,0,1780,0,1,0,0,0,"101004,104003","M416,S12K",M416:25.9 / S12K:0.0,M416:0 / S12K:0,M416:38 / S12K:0,M416:1 / S12K:0,38,1,2.63
9,FOX POWER,3,5821181084,FXPCxntury117,0,1,435,241,6,1,0,336,236,30m 19s,2m 7s,89,0,0,14298,2299,0,2,2,0,0,0,1780,0,3,0,0,0,"101004,104004","M416,DBS",M416:81.8 / DBS:0.0,M416:0 / DBS:0,M416:39 / DBS:0,M416:3 / DBS:0,39,3,7.69
9,FOX POWER,3,5529744704,FXPSTRAPPPM,0,4,622,95,0,5,0,197,40,29m 30s,0m 18s,17,0,0,9945,2568,1,4,2,0,0,0,1780,1,2,0,0,2,"101004,104004","M416,DBS",M416:127.1 / DBS:0.0,M416:1 / DBS:0,M416:31 / DBS:0,M416:5 / DBS:0,31,5,16.13
