TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,SAILING ESPORTS,1,515409759,slpLucio,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,1,5256481428,slpRetired,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,1,576864809,TUKIū,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,1,592736100,slpNoviooooo,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,2,551948740,apexRV,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,2,5360731921,apexMia,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,2,513966017,apexStarlight,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,2,5528757588,apexJeice,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,3,5390660541,Xoleyyy,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,3,524364608,vipFoquiño,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,3,51902001021,PIOxMelon,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,3,516275077,blurSamuuuuu,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,4,5816409565,RwgBroown,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,4,550047860,RwgOMARSIHO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,4,511141717,atzDramm,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,4,595145228,snxKIRITO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,5,51311157885,CP9KODI,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,5,51509355979,nexIRAAN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,5,51793755439,nexHAANz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,5,510149456,CP9NiTwY,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,6,5786295143,DBZxSelesz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,6,51642674753,DBZxLaburra,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
