TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,FY ESPORTS,1,589643926,FyXevation,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS,1,5175612248,FySwayy,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS,1,5564076596,FyExtssy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,2,5816409565,RwgBroown,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,2,595145228,snxKIRITO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,2,550047860,RwgOMARSIHO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REED WARRIORS,2,511141717,atzDramm,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,3,5200453950,invg・Charlysz,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,3,5582662785,invgSAD09,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,3,5325340274,invgKilla04,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,3,591076293,invgKennyDanL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,4,595009538,stwChecoPerez,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,4,51336620904,Diegosex,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,4,5343802844,BTDavidACOsz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,4,5319335933,EtyD7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,5,5128768265,BNsÑemaloka69,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,5,52157334652,BNsSeven,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,5,51823030949,BNSrev,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,5,5264891273,BNSMalditoNA7A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5305137697,A5SUB78z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5183565232,A5AVALOS117,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5252880863,A5MESSI98K,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5210902952,A5LUGO,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,7,537616745,MFKYutagodd,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,7,5320253970,YAMISITOPSPSPS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,7,5294974509,MFKBolillo,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,8,51311157885,CP9KODI,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
