TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
10,VENDETTA,1,570555477,vdStray,100,1,287,22,1,2,0,249,239,30m 33s,0m 0s,0,0,0,6605,2732,2,3,3,0,0,0,1327,2,8,0,2,2,"101004,104003,104002,101008","M416,S12K,S1897,M762",M416:326.5 / S12K:15.0 / S1897:0.0 / M762:0.0,M416:1 / S12K:0 / S1897:0 / M762:0,M416:333 / S12K:5 / S1897:0 / M762:0,M416:13 / S12K:1 / S1897:0 / M762:0,338,14,4.14
10,VENDETTA,1,5828074453,vdTURY,86,3,712,61,0,5,1,283,267,30m 33s,0m 1s,18,0,0,5570,3166,1,3,3,0,0,0,1327,8,10,0,1,2,"101004,102005,104003,102002","M416,PP19,S12K,UMP45",M416:311.2 / PP19:365.2 / S12K:0.0 / UMP45:0.0,M416:1 / PP19:2 / S12K:0 / UMP45:0,M416:340 / PP19:158 / S12K:0 / UMP45:0,M416:10 / PP19:11 / S12K:0 / UMP45:0,498,21,4.22
10,VENDETTA,1,524401522,vdūXYLON,100,0,217,0,1,0,0,269,86,18m 29s,0m 0s,0,0,0,6805,1560,0,0,2,0,0,0,1327,1,8,0,0,0,"104003,101004,107010","S12K,M416,Arma 107010",S12K:94.3 / M416:77.6 / Arma 107010:0.0,S12K:0 / M416:0 / Arma 107010:0,S12K:7 / M416:112 / Arma 107010:0,S12K:6 / M416:3 / Arma 107010:0,119,9,7.56
10,VENDETTA,1,510546165,vdzouzou,100,0,111,0,0,0,0,246,51,18m 21s,0m 0s,0,0,0,6670,1348,1,1,1,0,0,0,1327,1,0,0,1,1,"104,002,101,003","S1897,SCAR-L",S1897:0.0 / SCAR-L:70.4,S1897:0 / SCAR-L:0,S1897:0 / SCAR-L:98,S1897:0 / SCAR-L:3,98,3,3.06
5,ONE SHOT KILLERS,2,5343802844,BTDavidACOsz,0,5,614,51,0,5,0,283,406,30m 33s,3m 53s,204,0,2,8608,2546,4,9,9,3,0,0,1412,3,9,3,0,9,"101004,101003,102002,104003,105001,104004","M416,SCAR-L,UMP45,S12K,M249,DBS",M416:256.8 / SCAR-L:0.0 / UMP45:188.5 / S12K:113.2 / M249:0.0 / DBS:0.0,M416:0 / SCAR-L:0 / UMP45:0 / S12K:2 / M249:0 / DBS:0,M416:43 / SCAR-L:0 / UMP45:75 / S12K:9 / M249:0 / DBS:0,M416:10 / SCAR-L:0 / UMP45:7 / S12K:7 / M249:0 / DBS:0,127,24,18.9
5,ONE SHOT KILLERS,2,595009538,stwChecoPerez,0,2,396,9,3,2,0,444,477,30m 32s,3m 50s,245,0,0,11696,1928,0,11,2,1,0,0,1412,1,11,3,0,3,"104003,101004,104002,106002","S12K,M416,S1897,P1911",S12K:148.1 / M416:50.9 / S1897:99.6 / P1911:0.0,S12K:1 / M416:0 / S1897:0 / P1911:0,S12K:12 / M416:113 / S1897:4 / P1911:0,S12K:12 / M416:2 / S1897:4 / P1911:0,129,18,13.95
5,ONE SHOT KILLERS,2,5319335933,EtyD7,0,1,287,5,2,1,0,352,363,22m 43s,4m 13s,189,0,0,8505,2143,0,5,2,1,0,0,1412,2,4,0,0,1,"101003,104003,102005","SCAR-L,S12K,PP19",SCAR-L:95.2 / S12K:100.8 / PP19:0.0,SCAR-L:0 / S12K:1 / PP19:0,SCAR-L:122 / S12K:6 / PP19:0,SCAR-L:2 / S12K:5 / PP19:0,128,7,5.47
5,ONE SHOT KILLERS,2,51336620904,Diegosex,0,0,115,0,2,0,0,196,184,20m 25s,4m 2s,184,0,0,6301,1936,0,1,2,1,0,0,1412,0,1,0,0,0,"102002,101003,101007,101001,102001","UMP45,SCAR-L,QBZ,AKM,UZI",UMP45:0.0 / SCAR-L:22.6 / QBZ:0.0 / AKM:0.0 / UZI:0.0,UMP45:0 / SCAR-L:0 / QBZ:0 / AKM:0 / UZI:0,UMP45:5 / SCAR-L:31 / QBZ:5 / AKM:0 / UZI:22,UMP45:0 / SCAR-L:1 / QBZ:0 / AKM:0 / UZI:0,63,1,1.59
17,D4TR FEM,3,535796090,D4・TEPONGO,0,1,126,4,0,2,0,146,46,30m 30s,0m 0s,0,0,0,2924,2739,0,2,2,1,0,0,752,0,4,0,0,2,"101003,102002,107010,101007,104003","SCAR-L,UMP45,Arma 107010,QBZ,S12K",SCAR-L:97.8 / UMP45:61.8 / Arma 107010:0.0 / QBZ:0.0 / S12K:0.0,SCAR-L:0 / UMP45:0 / Arma 107010:0 / QBZ:0 / S12K:0,SCAR-L:118 / UMP45:92 / Arma 107010:6 / QBZ:0 / S12K:0,SCAR-L:4 / UMP45:2 / Arma 107010:0 / QBZ:0 / S12K:0,216,6,2.78
17,D4TR FEM,3,51482805287,D4・FUTURE8A8Y,0,1,273,10,2,0,0,416,316,30m 30s,0m 1s,36,0,0,3246,2478,1,6,3,1,0,0,752,1,6,0,0,1,"101003,101101,102002","SCAR-L,ASM Abakan,UMP45",SCAR-L:89.8 / ASM Abakan:0.0 / UMP45:146.6,SCAR-L:0 / ASM Abakan:0 / UMP45:0,SCAR-L:83 / ASM Abakan:0 / UMP45:34,SCAR-L:3 / ASM Abakan:0 / UMP45:5,117,8,6.84
17,D4TR FEM,3,554715222,D4・ALLEN,0,1,280,75,0,2,0,228,127,29m 47s,0m 1s,99,0,0,3837,2064,0,5,4,1,0,0,752,2,3,0,0,3,"102002,101004,101003","UMP45,M416,SCAR-L",UMP45:0.0 / M416:22.9 / SCAR-L:191.3,UMP45:0 / M416:1 / SCAR-L:0,UMP45:0 / M416:80 / SCAR-L:36,UMP45:0 / M416:1 / SCAR-L:7,116,8,6.9
17,D4TR FEM,3,5197537851,D4・VENDETA,0,0,73,0,0,0,0,188,108,15m 50s,0m 42s,118,0,0,2378,1233,0,0,0,0,0,0,752,1,1,0,0,0,"101,003,104,002","SCAR-L,S1897",SCAR-L:72.8 / S1897:0.0,SCAR-L:0 / S1897:0,SCAR-L:7 / S1897:0,SCAR-L:2 / S1897:0,7,2,28.57
