TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
5,ONE SHOT KILLERS,1,5343802844,BTDavidACOsz,79,4,351,218,1,3,0,70,165,26m 4s,0m 54s,77,0,0,8569,2175,0,4,0,0,0,1,1274,2,12,1,0,5,"101004,104003,102005,106011","M416,S12K,PP19,Dual MP7",M416:295.3 / S12K:82.8 / PP19:0.0 / Dual MP7:0.0,M416:2 / S12K:1 / PP19:0 / Dual MP7:0,M416:234 / S12K:7 / PP19:0 / Dual MP7:0,M416:13 / S12K:7 / PP19:0 / Dual MP7:0,241,20,8.30
5,ONE SHOT KILLERS,1,595009538,stwChecoPerez,75,1,247,35,2,1,0,134,204,26m 4s,0m 4s,5,0,1,9950,2178,0,5,2,0,0,0,1274,0,8,0,1,2,"101004,104003","M416,S12K",M416:179.4 / S12K:0.0,M416:0 / S12K:0,M416:427 / S12K:7,M416:11 / S12K:0,434,11,2.53
5,ONE SHOT KILLERS,1,51336620904,Diegosex,83,2,374,153,1,2,0,106,150,26m 4s,0m 7s,3,0,0,9010,1935,0,1,1,2,0,0,1274,4,8,2,1,3,"101004,102002","M416,UMP45",M416:332.3 / UMP45:104.9,M416:1 / UMP45:1,M416:404 / UMP45:37,M416:14 / UMP45:4,441,18,4.08
5,ONE SHOT KILLERS,1,5319335933,EtyD7,100,1,302,120,2,1,0,22,44,26m 4s,0m 1s,5,0,0,9159,2028,0,5,10,1,0,0,1274,2,6,1,0,6,"101004,104003,106004","M416,S12K,P18C",M416:307.1 / S12K:20.1 / P18C:0.0,M416:1 / S12K:0 / P18C:0,M416:170 / S12K:8 / P18C:0,M416:13 / S12K:2 / P18C:0,178,15,8.43
12,REED WARRIORS,2,5816409565,RwgBroown,0,3,422,60,1,1,2,146,81,26m 4s,0m 0s,14,0,0,7565,1899,1,4,3,0,0,0,999,12,5,1,0,0,"101006,102002,104004,106002","AUG A3,UMP45,DBS,P1911",AUG A3:219.6 / UMP45:0.0 / DBS:177.4 / P1911:0.0,AUG A3:2 / UMP45:0 / DBS:1 / P1911:0,AUG A3:111 / UMP45:0 / DBS:14 / P1911:0,AUG A3:6 / UMP45:0 / DBS:12 / P1911:0,125,18,14.40
12,REED WARRIORS,2,550047860,RwgOMARSIHO,0,1,228,159,1,0,1,224,141,25m 58s,0m 6s,56,0,0,7671,1825,0,1,3,0,0,0,999,2,1,0,4,2,"101001,103005,101002,106003","AKM,VSS,M16A4,R1895",AKM:104.5 / VSS:123.2 / M16A4:0.0 / R1895:0.0,AKM:0 / VSS:1 / M16A4:0 / R1895:0,AKM:29 / VSS:138 / M16A4:0 / R1895:0,AKM:4 / VSS:5 / M16A4:0 / R1895:0,167,9,5.39
12,REED WARRIORS,2,511141717,atzDramm,0,2,327,103,1,2,0,293,95,24m 14s,0m 0s,0,0,0,7163,1694,0,1,3,0,0,0,999,1,6,2,0,3,"104004,101101,102002,107010","DBS,ASM Abakan,UMP45,Arma 107010",DBS:0.0 / ASM Abakan:283.7 / UMP45:0.0 / Arma 107010:0.0,DBS:0 / ASM Abakan:1 / UMP45:0 / Arma 107010:0,DBS:8 / ASM Abakan:282 / UMP45:0 / Arma 107010:0,DBS:0 / ASM Abakan:12 / UMP45:0 / Arma 107010:0,290,12,4.14
12,REED WARRIORS,2,595145228,snxKIRITO,0,0,22,0,0,0,0,195,15,18m 1s,0m 0s,0,0,0,7032,1486,0,0,0,0,0,1,999,0,1,0,0,0,"102105,101003,106002","P90,SCAR-L,P1911",P90:21.2 / SCAR-L:0.0 / P1911:0.0,P90:0 / SCAR-L:0 / P1911:0,P90:28 / SCAR-L:0 / P1911:0,P90:1 / SCAR-L:0 / P1911:0,28,1,3.57
8,DBZ ESPORTS,3,5786295143,DBZxSelesz,0,1,335,19,0,1,0,174,80,25m 53s,0m 0s,7,0,0,4881,2208,0,3,1,0,0,0,627,3,8,1,2,8,"104003,101004,107010","S12K,M416,Arma 107010",S12K:172.7 / M416:154.3 / Arma 107010:0.0,S12K:1 / M416:0 / Arma 107010:0,S12K:14 / M416:103 / Arma 107010:1,S12K:14 / M416:8 / Arma 107010:0,118,22,18.64
8,DBZ ESPORTS,3,51642674753,DBZxLaburra,0,1,211,148,2,1,1,199,38,24m 17s,0m 5s,32,0,0,2966,3273,1,4,0,0,0,0,627,1,4,0,0,0,"101003,106002,104004","SCAR-L,P1911,DBS",SCAR-L:161.3 / P1911:0.0 / DBS:0.0,SCAR-L:1 / P1911:0 / DBS:0,SCAR-L:100 / P1911:0 / DBS:0,SCAR-L:5 / P1911:0 / DBS:0,100,5,5.00
8,DBZ ESPORTS,3,546810124,DBZxDraven,0,0,23,0,0,0,0,218,43,24m 6s,0m 5s,20,0,0,3597,2371,0,2,3,1,0,0,627,0,1,0,0,0,"101006,104003","AUG A3,S12K",AUG A3:22.3 / S12K:0.0,AUG A3:0 / S12K:0,AUG A3:185 / S12K:0,AUG A3:1 / S12K:0,185,1,0.54
8,DBZ ESPORTS,3,559511361,DBZxChrisLH,0,1,58,140,0,1,1,270,68,23m 17s,0m 0s,0,0,0,2076,2872,0,0,1,0,0,0,627,1,1,0,0,0,"101004,104003","M416,S12K",M416:67.9 / S12K:0.0,M416:1 / S12K:0,M416:61 / S12K:0,M416:2 / S12K:0,61,2,3.28
7,CP9,4,51311157885,CP9KODI,0,4,458,233,0,3,1,144,32,25m 16s,0m 0s,7,0,0,4519,1480,0,3,0,0,0,0,834,1,14,0,5,7,"101004,101003,104003","M416,SCAR-L,S12K",M416:35.0 / SCAR-L:490.4 / S12K:0.0,M416:1 / SCAR-L:3 / S12K:0,M416:16 / SCAR-L:151 / S12K:0,M416:2 / SCAR-L:25 / S12K:0,167,27,16.17
