TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,CP9,1,51311157885,CP9KODI,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,1,51509355979,nexIRAAN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,1,51793755439,nexHAANz,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP9,1,510149456,CP9NiTwY,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,2,5343802844,BTDavidACOsz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,2,595009538,stwChecoPerez,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,2,51336620904,Diegosex,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONE SHOT KILLERS,2,5319335933,EtyD7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,3,515409759,slpLucio,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,3,5256481428,slpRetired,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,3,576864809,TUKIū,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS,3,592736100,slpNoviooooo,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,4,5325340274,invgKilla04,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,4,5200453950,invg・Charlysz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,4,5582662785,invgSAD09,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOGNIT EVOLUTION,4,591076293,invgKennyDanL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,5,5294974509,MFKBolillo,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,5,585002568,Sxp12K,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,5,5320253970,YAMISITOPSPSPS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAFK ESPORTS,5,5336448741,XRToppo11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5210902952,A5LUGO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5252880863,A5MESSI98K,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5183565232,A5AVALOS117,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMY FIVE,6,5305137697,A5SUB78z,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,7,5390660541,Xoleyyy,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,7,524364608,vipFoquiño,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,7,51902001021,PIOxMelon,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES,7,5427627921,WSTweedman,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4TR FEM,8,535796090,D4・TEPONGO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4TR FEM,8,554715222,D4・ALLEN,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4TR FEM,8,5197537851,D4・VENDETA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4TR FEM,8,51482805287,D4・FUTURE8A8Y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,9,52157334652,BNsSeven,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,9,5128768265,BNsÑemaloka69,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,9,51823030949,BNSrev,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNESPORTS,9,5264891273,BNSMalditoNA7A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,10,5786295143,DBZxSelesz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,10,51642674753,DBZxLaburra,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,10,546810124,DBZxDraven,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ ESPORTS,10,559511361,DBZxChrisLH,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,11,551948740,apexRV,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,11,5360731921,apexMia,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,11,513966017,apexStarlight,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APEX ESPORTS,11,5528757588,apexJeice,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCUADRON MIGAJAS,12,5164186521,ferｘッ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCUADRON MIGAJAS,12,578721858,ZR丨Hidan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCUADRON MIGAJAS,12,510336915,GHOSTJonathan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
