TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
8,ALL STAR ESPORTS,1,5772658003,ASELOURYYYjpg,81,7,787,198,1,6,0,233,289,26m 43s,2m 6s,62,0,2,7450,3219,0,1,11,0,0,0,2159,4,19,1,3,5,"101004,104003,107010,104004","M416,S12K,Arma 107010,DBS",M416:675.0 / S12K:0.0 / Arma 107010:0.0 / DBS:0.0,M416:4 / S12K:0 / Arma 107010:0 / DBS:0,M416:471 / S12K:0 / Arma 107010:0 / DBS:0,M416:32 / S12K:0 / Arma 107010:0 / DBS:0,471,32,6.79
8,ALL STAR ESPORTS,1,51301453461,ASEORNNYYYYYY,51,3,794,118,3,2,2,246,285,26m 43s,2m 2s,85,0,1,9260,2237,0,2,5,0,0,0,2159,5,25,1,0,3,"101004,104004","M416,DBS",M416:613.7 / DBS:186.6,M416:2 / DBS:0,M416:362 / DBS:12,M416:22 / DBS:12,374,34,9.09
8,ALL STAR ESPORTS,1,5114407339,ASELEY,100,1,237,3,1,0,0,192,107,25m 13s,3m 11s,98,1,0,6494,2763,0,2,0,1,0,0,2159,1,4,0,1,0,"101004,104004,104003","M416,DBS,S12K",M416:136.3 / DBS:0.0 / S12K:0.0,M416:0 / DBS:0 / S12K:0,M416:222 / DBS:0 / S12K:0,M416:6 / DBS:0 / S12K:0,222,6,2.70
8,ALL STAR ESPORTS,1,5132929308,ASEGELOOOXX,100,1,341,6,1,1,0,304,193,23m 2s,2m 38s,83,0,0,8218,1809,0,1,1,0,0,0,2159,4,11,2,0,5,"101004,104003","M416,S12K",M416:142.3 / S12K:208.0,M416:0 / S12K:1,M416:182 / S12K:15,M416:7 / S12K:15,197,22,11.17
11,CLOVER GOLD,2,5956258813,CGdaniperro,0,3,571,229,2,3,0,382,339,26m 43s,0m 1s,14,0,2,3814,2272,1,8,8,0,0,0,1796,2,16,0,0,2,"101003,104003,101007","SCAR-L,S12K,QBZ",SCAR-L:247.5 / S12K:98.3 / QBZ:0.0,SCAR-L:1 / S12K:0 / QBZ:0,SCAR-L:426 / S12K:9 / QBZ:0,SCAR-L:11 / S12K:9 / QBZ:0,435,20,4.60
11,CLOVER GOLD,2,514665933,CGcoffee,0,3,320,88,0,2,0,240,203,26m 43s,0m 1s,42,0,0,7373,2395,1,7,4,0,0,0,1796,3,6,3,0,1,"101006,101001,106003","AUG A3,AKM,R1895",AUG A3:319.0 / AKM:50.5 / R1895:0.0,AUG A3:3 / AKM:0 / R1895:0,AUG A3:245 / AKM:46 / R1895:0,AUG A3:12 / AKM:1 / R1895:0,291,13,4.47
11,CLOVER GOLD,2,5482808043,Diegozin,0,1,320,86,3,1,0,390,312,26m 43s,0m 2s,9,0,0,7004,1862,0,5,4,2,0,1,1796,3,8,0,1,1,"101004,101001,102002","M416,AKM,UMP45",M416:360.3 / AKM:0.0 / UMP45:0.0,M416:1 / AKM:0 / UMP45:0,M416:334 / AKM:0 / UMP45:0,M416:13 / AKM:0 / UMP45:0,334,13,3.89
11,CLOVER GOLD,2,558589428,CGAngelitopm,0,2,585,105,3,3,2,314,230,26m 10s,0m 9s,62,0,0,6822,1683,0,8,1,0,0,0,1796,6,10,1,0,8,"104003,101004,101101,102002","S12K,M416,ASM Abakan,UMP45",S12K:67.7 / M416:533.3 / ASM Abakan:0.0 / UMP45:0.0,S12K:0 / M416:2 / ASM Abakan:0 / UMP45:0,S12K:11 / M416:363 / ASM Abakan:0 / UMP45:0,S12K:6 / M416:19 / ASM Abakan:0 / UMP45:0,374,25,6.68
9,KOMANDOS UNIDOS,3,5389929087,KU2Juan77k,0,0,483,0,1,2,0,266,263,25m 43s,1m 10s,120,0,0,12880,2182,1,7,0,0,3,0,1200,3,11,3,1,5,"101004,102005,101003,104004","M416,PP19,SCAR-L,DBS",M416:512.8 / PP19:0.0 / SCAR-L:0.0 / DBS:0.0,M416:0 / PP19:0 / SCAR-L:0 / DBS:0,M416:266 / PP19:0 / SCAR-L:0 / DBS:0,M416:23 / PP19:0 / SCAR-L:0 / DBS:0,266,23,8.65
9,KOMANDOS UNIDOS,3,5197890636,KU2Loki7k,0,0,220,0,0,2,0,220,286,25m 43s,1m 22s,82,0,0,10651,2307,0,4,3,0,0,0,1200,1,6,1,0,2,"101004,101003,101001","M416,SCAR-L,AKM",M416:223.9 / SCAR-L:0.0 / AKM:0.0,M416:0 / SCAR-L:0 / AKM:0,M416:370 / SCAR-L:0 / AKM:0,M416:10 / SCAR-L:0 / AKM:0,370,10,2.70
9,KOMANDOS UNIDOS,3,5112132059,KU2Zeus,0,3,435,226,0,3,0,207,93,25m 24s,1m 11s,78,0,0,9770,1706,1,6,3,1,1,0,1200,2,5,1,2,4,"107010,101001,101004,102002,101008,101007","Arma 107010,AKM,M416,UMP45,M762,QBZ",Arma 107010:0.0 / AKM:31.6 / M416:282.3 / UMP45:0.0 / M762:0.0 / QBZ:0.0,Arma 107010:0 / AKM:1 / M416:1 / UMP45:0 / M762:0 / QBZ:0,Arma 107010:2 / AKM:30 / M416:285 / UMP45:0 / M762:0 / QBZ:0,Arma 107010:0 / AKM:1 / M416:13 / UMP45:0 / M762:0 / QBZ:0,317,14,4.42
9,KOMANDOS UNIDOS,3,5258447630,KU2LeSam77,0,0,62,0,1,0,0,157,74,20m 38s,1m 7s,68,0,0,6807,1600,0,0,0,0,0,0,1200,1,1,0,1,0,"101003,104003","SCAR-L,S12K",SCAR-L:83.5 / S12K:0.0,SCAR-L:0 / S12K:0,SCAR-L:88 / S12K:3,SCAR-L:3 / S12K:0,91,3,3.30
12,8DP ESPORTS,4,521933446,8DPMYSTIC,0,3,572,79,2,1,0,414,338,23m 54s,0m 7s,38,0,0,8311,1782,0,5,2,0,0,0,1180,2,18,1,5,9,"101004,104003,101001,102001,107010","M416,S12K,AKM,UZI,Arma 107010",M416:329.4 / S12K:259.2 / AKM:0.0 / UZI:0.0 / Arma 107010:0.0,M416:1 / S12K:2 / AKM:0 / UZI:0 / Arma 107010:0,M416:250 / S12K:21 / AKM:0 / UZI:0 / Arma 107010:0,M416:14 / S12K:21 / AKM:0 / UZI:0 / Arma 107010:0,271,35,12.92
12,8DP ESPORTS,4,511433847,8DPJONAAZ,0,0,283,0,2,2,0,206,123,19m 25s,0m 0s,0,0,0,4987,1345,1,1,1,0,0,0,1180,2,7,0,0,1,"101003,102002","SCAR-L,UMP45",SCAR-L:98.8 / UMP45:208.3,SCAR-L:0 / UMP45:0,SCAR-L:97 / UMP45:26,SCAR-L:3 / UMP45:7,123,10,8.13
12,8DP ESPORTS,4,5660532482,8DPNOAH,0,2,167,113,1,2,1,300,124,18m 39s,0m 0s,0,0,0,6728,1799,1,2,2,0,0,0,1180,2,3,0,1,1,"102002,101004","UMP45,M416",UMP45:110.9 / M416:114.0,UMP45:1 / M416:1,UMP45:22 / M416:208,UMP45:4 / M416:3,230,7,3.04
