TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,ALL STAR ESPORTS,1,5772658003,ASELOURYYYjpg,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL STAR ESPORTS,1,5132929308,ASEGELOOOXX,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL STAR ESPORTS,1,51301453461,ASEORNNYYYYYY,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL STAR ESPORTS,1,5114407339,ASELEY ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BATSPARTAN,2,5160517108,BSxPSYCHO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BATSPARTAN,2,5672165692,BSxRamzes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BATSPARTAN,2,5232819365,BSxKevin,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BATSPARTAN,2,5299337510,BSxFEDERALgg,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FES ESPORTS,3,533082965,FESLEENIXS,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FES ESPORTS,3,52177832522,FESAMANTHA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FES ESPORTS,3,5621830716,FESTIXXYLOVEEE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FES ESPORTS,3,572539784,BNsRomeroDG,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS,4,5559788870,CorreleūLIC,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS,4,511151005,R6TQM,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS,4,5538104950,esg・Drxgonzz,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS,4,5196654254,zbAkon,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8DP ESPORTS,5,5187129313,8DPLUFFY,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8DP ESPORTS,5,511014603,8DPALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8DP ESPORTS,5,5660532482,8DPNOAH,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8DP ESPORTS,5,521933446,8DPMYSTIC,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V2 ESPORTS,6,5216451596,V2AlucardMX,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V2 ESPORTS,6,510139056,V2Luckyyyyy,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V2 ESPORTS,6,544313239,V2Lastdance,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V2 ESPORTS,6,5202844535,V2Dramaz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS,7,5389929087,KU2Juan77k,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS,7,5258447630,KU2LeSam77,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS,7,5112132059,KU2Zeus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS,7,52206371780,KU2Nix,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETS,8,5241676437,etsWhiskas,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETS,8,5443752987,etsCarlos,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETS,8,5197778779,etsChristmas,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETS,8,5677997451,etsJoker,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
