TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,FOX POWER ,1,5132907175,FXPMelgar7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,1,5529744704,FXPSTRAPPPM,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,1,5821181084,FXPCxntury117,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,1,574748484,FXPCHOCO,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,2,5258447630,KU2LeSam77,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,2,5389929087,KU2Juan77k,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,2,5197890636,KU2Loki7k,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,2,5112132059,KU2Zeus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS ,3,5551621809,SyfYULAY,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS ,3,5296904312,SyfAndreaa,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
