TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,TFC,1,5148134954,MEXEragod,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,1,5152912230,tonkaū,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,1,51006779088,MEXRivass,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,1,5541789662,MEXAxeeL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS,2,5430396222,egoZenn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS,2,511385999,egoNZv,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS,2,5157369636,egoELPatroonn,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS,2,5523001339,ego1vnū9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,3,5333102582,IBsOMARgs,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,3,5222259228,IBsCAPIBARA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,3,5251717282,IBsMadsɞ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,3,5128941169,IBsRacingGG,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,4,568524628,RNGJONA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,4,52371643087,RNGŪBarbas,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,4,51786450040,RNGquique,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
